C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
150001,Customer#000150001,n6qVTvOWrNMNaR5 FnckMR,5,15-437-991-5205,5188.57,HOUSEHOLD,tes. pending depths cajole furiously always fluffy r
150002,Customer#000150002,2k8lx0n1VOU X,17,27-882-967-4126,5273.43,MACHINERY,even accounts. carefully even excuses sleep furiously regular requests-- furiously ev
150003,Customer#000150003,zEh8FuUPiz6Ss,1,11-444-550-6342,1570.62,MACHINERY,r pinto beans after the unusual requests 
150004,Customer#000150004,ElXCpYKjm80aksqYTcM1wrZK,7,17-505-391-9767,6373.21,AUTOMOBILE,sits sleep ironic requests. ideas use furiously around the quickly fi
150005,Customer#000150005,xBHbIxYQIqklFQXIL20LCo3lrfrLGQGC,19,29-670-610-6818,5615.00,FURNITURE," carefully regular tithes are. bold, regular excuses sleep quickly regular, special ideas. slyly even"
150006,Customer#000150006,XdwjnNLDM2 pu7UxG,18,28-429-410-1502,327.22,HOUSEHOLD,ly above the blithely ironic asymptotes. fluffily even accounts haggle. carefully final inst
150007,Customer#000150007,ZX2ErUKl6TfehU8NgI,19,29-578-745-9724,8451.74,FURNITURE,haggle slyly among the blithely enticing theodolites. ironic pinto beans use. blithely
150008,Customer#000150008,"reBk8fyj2pVY,nHNunvi7,ifGopT2ZkBdDB9q7b",5,15-275-755-7168,3374.69,MACHINERY,regular packages beneath the regular asymptotes cajole across the ideas. express reques
150009,Customer#000150009,oA1a6F7VANO7J11AtYRFcPx67i3cq3,6,16-982-819-4707,362.65,AUTOMOBILE,xpress accounts. express foxes across the even requests integrate f
150010,Customer#000150010,NTjV4gpyXHneiH,11,21-639-889-3619,9994.03,FURNITURE,"instructions nag permanently regular, ironic ideas. ironic requests use carefully. furiously silent warthogs acro"
150011,Customer#000150011,rveN8TRpWYA n3W6z4z,17,27-462-504-5058,8706.97,HOUSEHOLD,riously pending packages. slyly special theodolites cajole furiousl
150012,Customer#000150012,X1R25kSNVIOXo3,17,27-387-569-3385,3077.09,AUTOMOBILE,dolites sleep slyly among the blithely ironic realms. ca
